-- January 2025 (31 days)
INSERT INTO carbon_emissions (date, month, noOfVehicles) VALUES
('01-01-2025', '01-2025', 170),
('01-02-2025', '01-2025', 150),
('01-03-2025', '01-2025', 185),
('01-04-2025', '01-2025', 135),
('01-05-2025', '01-2025', 260),
('01-06-2025', '01-2025', 230),
('01-07-2025', '01-2025', 205),
('01-08-2025', '01-2025', 190),
('01-09-2025', '01-2025', 175),
('01-10-2025', '01-2025', 155),
('01-11-2025', '01-2025', 140),
('01-12-2025', '01-2025', 152),
('01-13-2025', '01-2025', 165),
('01-14-2025', '01-2025', 175),
('01-15-2025', '01-2025', 185),
('01-16-2025', '01-2025', 195),
('01-17-2025', '01-2025', 205),
('01-18-2025', '01-2025', 215),
('01-19-2025', '01-2025', 225),
('01-20-2025', '01-2025', 235),
('01-21-2025', '01-2025', 245),
('01-22-2025', '01-2025', 255),
('01-23-2025', '01-2025', 265),
('01-24-2025', '01-2025', 275),
('01-25-2025', '01-2025', 285),
('01-26-2025', '01-2025', 295),
('01-27-2025', '01-2025', 305),
('01-28-2025', '01-2025', 315),
('01-29-2025', '01-2025', 325),
('01-30-2025', '01-2025', 335),
('01-31-2025', '01-2025', 345);

-- February 2025 (28 days)
INSERT INTO carbon_emissions (date, month, noOfVehicles) VALUES
('02-01-2025', '02-2025', 175),
('02-02-2025', '02-2025', 155),
('02-03-2025', '02-2025', 190),
('02-04-2025', '02-2025', 140),
('02-05-2025', '02-2025', 265),
('02-06-2025', '02-2025', 235),
('02-07-2025', '02-2025', 210),
('02-08-2025', '02-2025', 195),
('02-09-2025', '02-2025', 180),
('02-10-2025', '02-2025', 160),
('02-11-2025', '02-2025', 145),
('02-12-2025', '02-2025', 157),
('02-13-2025', '02-2025', 170),
('02-14-2025', '02-2025', 180),
('02-15-2025', '02-2025', 190),
('02-16-2025', '02-2025', 200),
('02-17-2025', '02-2025', 210),
('02-18-2025', '02-2025', 220),
('02-19-2025', '02-2025', 230),
('02-20-2025', '02-2025', 240),
('02-21-2025', '02-2025', 250),
('02-22-2025', '02-2025', 260),
('02-23-2025', '02-2025', 270),
('02-24-2025', '02-2025', 280),
('02-25-2025', '02-2025', 290),
('02-26-2025', '02-2025', 300),
('02-27-2025', '02-2025', 310),
('02-28-2025', '02-2025', 320);

-- March 2025 (31 days)
INSERT INTO carbon_emissions (date, month, noOfVehicles) VALUES
('03-01-2025', '03-2025', 180),
('03-02-2025', '03-2025', 160),
('03-03-2025', '03-2025', 195),
('03-04-2025', '03-2025', 145),
('03-05-2025', '03-2025', 270),
('03-06-2025', '03-2025', 240),
('03-07-2025', '03-2025', 215),
('03-08-2025', '03-2025', 200),
('03-09-2025', '03-2025', 185),
('03-10-2025', '03-2025', 165),
('03-11-2025', '03-2025', 150),
('03-12-2025', '03-2025', 162),
('03-13-2025', '03-2025', 175),
('03-14-2025', '03-2025', 185),
('03-15-2025', '03-2025', 195),
('03-16-2025', '03-2025', 205),
('03-17-2025', '03-2025', 215),
('03-18-2025', '03-2025', 225),
('03-19-2025', '03-2025', 235),
('03-20-2025', '03-2025', 245),
('03-21-2025', '03-2025', 255),
('03-22-2025', '03-2025', 265),
('03-23-2025', '03-2025', 275),
('03-24-2025', '03-2025', 285),
('03-25-2025', '03-2025', 295),
('03-26-2025', '03-2025', 305),
('03-27-2025', '03-2025', 315),
('03-28-2025', '03-2025', 325),
('03-29-2025', '03-2025', 335),
('03-30-2025', '03-2025', 345),
('03-31-2025', '03-2025', 355);

-- April 2025 (30 days)
INSERT INTO carbon_emissions (date, month, noOfVehicles) VALUES
('04-01-2025', '04-2025', 185),
('04-02-2025', '04-2025', 165),
('04-03-2025', '04-2025', 200),
('04-04-2025', '04-2025', 150),
('04-05-2025', '04-2025', 275),
('04-06-2025', '04-2025', 245),
('04-07-2025', '04-2025', 220),
('04-08-2025', '04-2025', 205),
('04-09-2025', '04-2025', 190),
('04-10-2025', '04-2025', 170),
('04-11-2025', '04-2025', 155),
('04-12-2025', '04-2025', 167),
('04-13-2025', '04-2025', 180),
('04-14-2025', '04-2025', 190),
('04-15-2025', '04-2025', 200),
('04-16-2025', '04-2025', 210),
('04-17-2025', '04-2025', 220),
('04-18-2025', '04-2025', 230),
('04-19-2025', '04-2025', 240),
('04-20-2025', '04-2025', 250),
('04-21-2025', '04-2025', 260),
('04-22-2025', '04-2025', 270),
('04-23-2025', '04-2025', 280),
('04-24-2025', '04-2025', 290),
('04-25-2025', '04-2025', 300),
('04-26-2025', '04-2025', 310),
('04-27-2025', '04-2025', 320),
('04-28-2025', '04-2025', 330),
('04-29-2025', '04-2025', 340),
('04-30-2025', '04-2025', 350);

-- May 2025 (31 days)
INSERT INTO carbon_emissions (date, month, noOfVehicles) VALUES
('05-01-2025', '05-2025', 90),
('05-02-2025', '05-2025', 81),
('05-03-2025', '05-2025', 184),
('05-04-2025', '05-2025', 45),
('05-05-2025', '05-2025', 337),
('05-06-2025', '05-2025', 300),
('05-07-2025', '05-2025', 216),
('05-08-2025', '05-2025', 246),
('05-09-2025', '05-2025', 236),
('05-10-2025', '05-2025', 202),
('05-11-2025', '05-2025', 45),
('05-12-2025', '05-2025', 279),
('05-13-2025', '05-2025', 271),
('05-14-2025', '05-2025', 259),
('05-15-2025', '05-2025', 277),
('05-16-2025', '05-2025', 272),
('05-17-2025', '05-2025', 226),
('05-18-2025', '05-2025', 77),
('05-19-2025', '05-2025', 262),
('05-20-2025', '05-2025', 260),
('05-21-2025', '05-2025', 225),
('05-22-2025', '05-2025', 283),
('05-23-2025', '05-2025', 249),
('05-24-2025', '05-2025', 202),
('05-25-2025', '05-2025', 91),
('05-26-2025', '05-2025', 287),
('05-27-2025', '05-2025', 231),
('05-28-2025', '05-2025', 192),
